,geo_adj_score,cell_type
737,0.397836359425416,Alpha
738,0.913799743106826,Alpha
739,0.288433388070844,Alpha
740,0.245430074064895,Beta
741,0.363032875548071,Alpha
742,0.593115029823629,Alpha
743,0.330749341056202,Beta
744,0.543617827513303,Alpha
745,0.761912103439808,Alpha
746,1.13968436172391,Alpha
747,0.893354539842897,Alpha
748,0.250689763189897,Alpha
749,0.799888041712975,Beta
750,0.288757791600932,Alpha
751,0.229928411955989,Alpha
752,0.4183494407207,Beta
753,0.971135700605078,Beta
754,1.03037057732961,Alpha
755,1.08130500272768,Alpha
756,0.845925102704897,Beta
757,0.625502133221695,Alpha
758,0.243749586061354,Alpha
759,0.299236164689138,Alpha
760,0.475539003232459,Alpha
761,0.786131106166938,Alpha
762,0.43292220967546,Alpha
763,0.33698496841256,Alpha
764,0.400326833012218,Alpha
765,0.502067671027236,Alpha
766,0.341928980268789,Alpha
767,1.11133158572104,Acinar
768,1.00967953840412,Alpha
769,0.273945878387364,Alpha
770,0.624382593152597,Alpha
771,0.830323613031556,Alpha
772,0.360277624059312,Alpha
773,0.387872949363126,Alpha
774,0.988871279915313,Alpha
775,0.820832558316395,Alpha
776,0.298342982216237,Alpha
777,1.18755546590047,Acinar
778,0.307389652723567,Alpha
779,0.276322924716832,Alpha
780,0.878502234154227,Alpha
781,0.332644091245211,Beta
782,0.538933762922289,Alpha
783,1.25920610881952,Ductal
784,1.44331408905111,Acinar
785,1.11142086850353,Beta
786,1.02533974321992,Alpha
787,0.525897893853201,Alpha
788,0.466024992222459,Alpha
789,0.777543668123377,Alpha
790,0.782523689491931,Alpha
791,0.356038083865186,Alpha
792,0.356913940914237,Alpha
793,1.31179200362564,Ductal
794,0.432096919295658,Alpha
795,0.515665734539139,Alpha
796,0.707877439744896,Alpha
797,0.969000157727906,Alpha
798,0.388900899699974,Beta
799,0.638861671768448,Alpha
800,0.63739668650132,Alpha
801,0.32666279227466,Alpha
802,0.898282552217255,Alpha
803,0.72077284792568,Alpha
804,0.926498922657402,Alpha
805,1.3800782223717,Acinar
806,1.55451667754479,Acinar
807,1.1790859497672,Acinar
808,1.04559162291024,Alpha
809,0.683878184338491,Alpha
810,0.440161245289252,Alpha
811,0.340433321657679,Alpha
812,0.788419210931544,Beta
813,0.921486523089171,Alpha
814,0.829856236411655,Alpha
815,0.744250397770128,Alpha
816,0.646267943313062,Alpha
817,0.592138131669957,Alpha
818,0.525177098051787,Alpha
819,1.27498023685712,Acinar
820,0.543941206178538,Alpha
821,1.41530220249417,Ductal
822,0.505099339150911,Alpha
823,1.1453101847287,Alpha
824,0.736227108557505,Alpha
825,1.46920254142356,Acinar
826,0.573441959567152,Alpha
827,1.03956569371262,Alpha
828,0.692816877191331,Beta
829,1.15022273453542,Alpha
830,1.09074391006867,Alpha
831,0.453340181884325,Beta
832,0.972654445366259,Alpha
833,0.935562987294225,Alpha
834,0.491860856534604,Alpha
835,0.876899316070201,Alpha
836,1.3380578958701,Acinar
837,0.377483973833328,Alpha
838,0.646061990716568,Alpha
839,1.18778352634383,Beta
840,1.41197735150366,Acinar
841,0.657487440322999,Alpha
842,1.13003082507345,Alpha
843,0.84799006153934,Alpha
844,0.72392384770391,Alpha
845,1.53318349355349,Acinar
846,0.598886979074497,Alpha
847,1.07855597112358,Alpha
848,0.451272344424719,Alpha
849,0.80350739412922,Alpha
850,0.409814695428699,Alpha
851,0.419010787878693,Alpha
852,0.75702139903381,Alpha
853,0.844141417518387,Alpha
854,0.538989753160283,Beta
855,0.4279022977656,Alpha
856,1.01160109892115,Alpha
857,0.493029253516318,Beta
858,0.459810610136961,Alpha
859,0.742675535727225,Alpha
860,0.589836596141377,Beta
861,1.16168525067394,Alpha
862,1.58018152013655,Acinar
863,1.13311653813482,Beta
864,0.794761085244041,Alpha
865,0.433782740870106,Alpha
866,0.899773810336863,Alpha
867,0.711100722559903,Alpha
868,1.08147079583419,Alpha
869,0.442090794845879,Alpha
870,0.550878234441908,Alpha
871,0.51989439281283,Beta
872,0.490512727037747,Alpha
873,1.17882318634364,Alpha
874,0.949960852754151,Alpha
875,0.470710843850336,Beta
876,0.672723731428304,Beta
877,0.876317007359123,Alpha
878,0.707580985714039,Alpha
879,0.455054538637778,Alpha
880,1.31633300423056,Alpha
881,0.955228995605011,Stellate
882,1.45868458964231,Alpha
883,0.796137320943191,Alpha
884,0.482982254657851,Beta
885,0.529358473205729,Alpha
886,0.605064224842691,Alpha
887,0.526990852527595,Alpha
888,0.657624900538738,Beta
889,0.775487087253334,Alpha
890,1.34669431998047,Alpha
891,1.06617762875982,Alpha
892,0.728240262129182,Beta
893,0.614421040547466,Beta
894,1.05815755731077,Acinar
895,0.48519204684109,Alpha
896,1.57099490930073,Alpha
897,1.29241472807345,Alpha
898,0.650476428845314,Beta
899,0.86138786327306,Alpha
900,0.940369397171772,Acinar
901,0.561498108640839,Alpha
902,0.892910833767134,Alpha
903,0.831280881091969,Alpha
904,0.767286089824581,Alpha
905,0.853395863036853,Alpha
906,1.4419154235494,Beta
907,0.490964506590369,Alpha
908,0.486392231242087,Alpha
909,1.01075241014172,Acinar
910,0.84677083215294,Alpha
911,1.54765305811291,Alpha
912,1.49616987866466,Alpha
913,0.602495639916905,Beta
914,0.518877021737894,Beta
915,0.992910034226905,Acinar
916,0.504639454307562,Alpha
917,1.04825596839458,Acinar
918,1.13060399261031,Alpha
919,1.00217041609192,Alpha
920,0.900577929305297,Acinar
921,0.791061815582105,Alpha
922,0.714879052126184,Beta
923,1.70983531101756,Acinar
