,cell_number,concave_regularity,brittleness,sample
AL189T_83,4.90527477843843,0.435814322275071,0.891273798324651,AL189T
AL189T_84,4.89783979995091,0.370598714457807,0.696392928559422,AL189T
AL189T_85,4.77912349311153,0.301839239398012,0.802752220899427,AL189T
AL189T_86,4.89783979995091,0.213984427161929,0.837045290447176,AL189T
AL189T_87,4.9416424226093,0.451438572320492,0.859279886862781,AL189T
AL189T_88,4.65396035015752,0.432859277149069,0.79974098210283,AL189T
AL189T_89,4.59511985013459,0.125119482009341,0.658673277693885,AL189T
AL189T_90,4.99043258677874,0.515624128246641,0.929548561353466,AL189T
AL189T_91,4.92725368515721,0.422484907435491,0.947534401188052,AL189T
AL189T_92,4.72738781871234,0.121263559685374,0.688197808692544,AL189T
AL189T_93,4.969813299576,0.367518234635581,0.773987321395437,AL189T
AL189T_94,4.26267987704132,0.0202751523317826,0.565428319930533,AL189T
AL189T_95,4.44265125649032,0.144227466378605,0.775113239504808,AL189T
AL189T_96,4.52178857704904,0.0769662392925521,0.529071199153563,AL189T
AL189T_97,4.30406509320417,0.167701380713841,0.563710489032221,AL189T
AL189T_98,4.80402104473326,0.288831852490331,0.813446477678775,AL189T
AL189T_99,4.24849524204936,0.291866904393927,0.637113930304909,AL189T
AL189T_100,4.52178857704904,0.0753754417930144,0.593964217916313,AL189T
AL189T_101,4.89783979995091,0.327894398525975,0.765578867516911,AL189T
AL189T_102,4.74493212836325,0.525006981189827,0.903828020454214,AL189T
AL189T_103,4.86753445045558,0.399215045156351,0.899270551682801,AL189T
AL189T_104,4.35670882668959,0.0811302678981432,0.660046433418611,AL189T
AL189T_105,4.62497281328427,0.047749138836353,0.583327679994269,AL189T
AL189T_106,4.68213122712422,0.216746464655467,0.824461415182771,AL189T
AL189T_107,4.79579054559674,0.342901206759174,0.850787763179696,AL189T
AL189T_108,3.76120011569356,0.215586149882913,0.828765664517526,AL189T
AL189T_109,4.51085950651685,0.0221397468169067,0.680684989657171,AL189T
AL189T_110,4.21950770517611,0.186125158854479,0.779608407387301,AL189T
AL189T_111,4.58496747867057,0.0935661769484081,0.683297407345591,AL189T
AL189T_112,4.8283137373023,0.333165427103843,0.839437631616481,AL189T
AL189T_113,4.55387689160054,0.0589308340980178,0.658641271098596,AL189T
AL189T_114,4.23410650459726,0.153761960696537,0.709698766489764,AL189T
AL189T_115,4.58496747867057,0.0895638691502615,0.67672612411642,AL189T
AL189T_116,4.30406509320417,0.143637006195532,0.639145211497006,AL189T
AL189T_117,4.38202663467388,0.104687190793317,0.750987053389664,AL189T
AL189T_118,4.34380542185368,0.389984517717612,0.800952218983516,AL189T
AL189T_119,3.97029191355212,0.0460072639271462,0.657026455641436,AL189T
AL189T_120,4.17438726989564,0.125380224911421,0.703828308222591,AL189T
