,geo_adj_score,cell_type
129,1.20457611925133,Beta
130,0.675108702022303,Beta
131,0.696480087929126,Beta
132,0.621115887551852,Beta
133,1.04078689478509,Beta
134,0.892877806643806,Alpha
135,0.75852961489432,Beta
136,0.904149499353546,Alpha
137,0.822792826656847,Beta
138,0.576763404513452,Alpha
139,0.790759303776094,Alpha
140,1.35836635266518,Ductal
141,0.583624222816625,Beta
142,0.714491286818077,Beta
143,0.604957877188084,Beta
144,1.1483843919218,Alpha
145,0.539025491195257,Beta
146,1.26166767162428,Stellate
147,0.745483339965812,Alpha
148,1.01937376792463,Alpha
149,0.957215139720637,Alpha
150,0.641691071962671,Stellate
151,0.771576658256176,Beta
152,1.42238753021654,Acinar
153,0.674654384392168,Alpha
154,1.10933293550374,Alpha
155,0.780007111412016,Beta
156,0.582928440895077,Beta
157,0.894110353177513,Stellate
158,0.632509609902522,Beta
159,0.548116900439599,Alpha
160,0.773317854606983,Alpha
161,0.501611046772025,Alpha
162,0.670455697858518,Beta
163,0.42847390206638,Beta
164,0.551580361783415,Alpha
165,0.690475187136018,Beta
166,0.782658990007889,Alpha
167,0.400622986778286,Beta
168,0.39416167497442,Alpha
169,0.939593580317818,Beta
170,0.501427300650905,Beta
171,0.568743476917849,Alpha
172,1.11211255875589,Stellate
173,0.863420234080224,Beta
174,0.457470022735811,Beta
175,0.458446024308779,Alpha
176,0.681330151194228,Beta
177,0.42180468292334,Beta
178,0.598709341757523,Beta
179,0.680594733567511,Beta
180,0.724255966719542,Beta
181,0.328477645253016,Beta
182,0.590404028558238,Beta
183,1.2044969680035,Ductal
184,0.797772432745643,Alpha
185,0.34639624273716,Beta
186,0.358013594398853,Alpha
187,0.887488660124826,Beta
188,0.487485334666715,Beta
189,0.426847846182431,Beta
190,0.993084782359487,Beta
191,0.264853053671157,Alpha
192,0.307091885981647,Beta
193,0.708956132575355,Beta
194,1.10676817972305,Stellate
195,0.694318777433222,Alpha
196,0.49763183898209,Beta
197,0.331911972168591,Alpha
198,0.391326802807567,Alpha
199,0.759796048864665,Alpha
200,0.231350870190604,Beta
201,1.26931220425051,Stellate
202,0.834849040968304,Alpha
203,0.402806054213252,Beta
204,0.958379203437885,Beta
205,0.508840176878733,Alpha
206,0.24623301036669,Beta
207,0.316200741410861,Alpha
208,0.236354943839814,Alpha
209,0.673752394771033,Alpha
210,0.397444921413495,Alpha
211,0.712026319959818,Alpha
212,1.05536137835777,Beta
213,1.16278093331857,Stellate
214,0.45423426611062,Beta
215,0.215655011815104,Alpha
216,0.134824457028841,Alpha
217,0.552158523185142,Beta
218,0.888745514911133,Beta
219,0.976491602703347,Beta
220,0.590021295950883,Beta
221,0.500573858258092,Beta
222,0.654115209647274,Alpha
223,1.08726460085366,Alpha
224,0.349903510614636,Beta
225,1.29957484497766,Acinar
226,0.700540530845991,Beta
227,0.16467875090454,Alpha
228,0.223585722643733,Alpha
229,0.0965558369336521,Beta
230,0.0623258547144412,Alpha
231,0.591743375436144,Alpha
232,1.21343890012277,Acinar
233,0.270278717094858,Alpha
234,0.761806919249294,Stellate
235,0.464648072282652,Beta
236,0.228876889319833,Alpha
237,0.478890898604368,Beta
238,0.407252664269984,Beta
239,0.825486351692063,Alpha
240,1.06147369467476,Beta
241,0.646976263352873,Beta
242,0.112671399442306,Alpha
243,0.195796038625119,Alpha
244,0.583741210684795,Alpha
245,0.66325936211158,Alpha
246,1.0002221181024,Alpha
247,0.027576865281578,Beta
