,Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance,color
ARL15,ARL15,1885.77883941087,-0.09935695762006,0.125929299796574,-0.788989995025474,0.430117854151371,0.999982363306687,Not Significant,grey
ARL16,ARL16,1281.34032319444,-0.0397612662057174,0.153036820114326,-0.259815031284719,0.795006455741173,0.999982363306687,Not Significant,grey
ARL17A,ARL17A,131.809501438897,0.0541345565658433,0.40756083440824,0.132825708447781,0.894331222102244,0.999982363306687,Not Significant,grey
ARL2,ARL2,858.805501962738,-0.234484664062081,0.17231769537134,-1.36076949936437,0.17358654354027,0.999982363306687,Not Significant,grey
ARL2BP,ARL2BP,1670.7908799552,-0.131591871809375,0.132719271672986,-0.991505379366541,0.321438866934773,0.999982363306687,Not Significant,grey
ARL3,ARL3,1285.79484439747,-0.188423643609924,0.149138033506061,-1.26341778270977,0.206439076710297,0.999982363306687,Not Significant,grey
ARL4A,ARL4A,475.924967086539,-0.0231208388679558,0.222013224267269,-0.104141719234355,0.917056883673636,0.999982363306687,Not Significant,grey
ARL4C,ARL4C,2329.74605290582,0.119364260707892,0.122405553230858,0.975153966117612,0.329483892732827,0.999982363306687,Not Significant,grey
ARL4D,ARL4D,487.211103517618,-0.0854594079001484,0.2318484012441,-0.368600376114619,0.712425615184241,0.999982363306687,Not Significant,grey
ARL5A,ARL5A,2057.63754567966,0.00973840627908255,0.122972223964142,0.0791919180214406,0.93687997288913,0.999982363306687,Not Significant,grey
ARL5B,ARL5B,1739.92639905367,-0.161852666785608,0.138585732634429,-1.16788838005824,0.242851791855824,0.999982363306687,Not Significant,grey
ARL6,ARL6,606.243152837248,-0.0166990686939013,0.198582892628649,-0.084091174586366,0.93298394145121,0.999982363306687,Not Significant,grey
ARL6IP1,ARL6IP1,6758.72352501745,-0.00779016281729652,0.0921524933256265,-0.0845355620468076,0.932630629596623,0.999982363306687,Not Significant,grey
ARL6IP4,ARL6IP4,3844.04135579443,-0.120247976372412,0.104420375382482,-1.15157579095033,0.24949543423874,0.999982363306687,Not Significant,grey
ARL6IP5,ARL6IP5,5619.24849727314,-0.0730035908282494,0.0935636769701166,-0.780255684602542,0.435240391650234,0.999982363306687,Not Significant,grey
ARL6IP6,ARL6IP6,554.485871221775,0.0798061008622089,0.210288215859234,0.379508193248597,0.704310521219961,0.999982363306687,Not Significant,grey
ARL8A,ARL8A,1597.83191979738,0.0581359310250255,0.135883407765913,0.427836863829441,0.668769896084844,0.999982363306687,Not Significant,grey
ARL8B,ARL8B,5019.04588122833,-0.0755372424513238,0.0944203255606012,-0.80001040033316,0.423704771414537,0.999982363306687,Not Significant,grey
ARMC1,ARMC1,1400.73513693326,-0.0383646536180073,0.144998763544094,-0.26458607425532,0.791328349055163,0.999982363306687,Not Significant,grey
ARMC10,ARMC10,854.689587228816,-0.065644996601436,0.176028177746255,-0.372923229916425,0.709205582194072,0.999982363306687,Not Significant,grey
ARMC2,ARMC2,232.432266392129,-0.0933252829260969,0.316661921875133,-0.294715835656733,0.768210965100164,0.999982363306687,Not Significant,grey
ARMC5,ARMC5,815.284179616567,-0.0211688515378496,0.175553960159777,-0.120583161545221,0.904021206651707,0.999982363306687,Not Significant,grey
ARMC6,ARMC6,677.008973074623,-0.166409780755586,0.189868702116355,-0.87644661232059,0.380787287704368,0.999982363306687,Not Significant,grey
ARMC7,ARMC7,232.932669996268,-0.0564494379112257,0.312864181234988,-0.18042793421861,0.856816625840111,0.999982363306687,Not Significant,grey
ARMC8,ARMC8,1295.16951203682,0.0748516357603389,0.14515370728269,0.515671539925354,0.606083835248322,0.999982363306687,Not Significant,grey
ARMC9,ARMC9,812.67650306258,-0.221594809455897,0.179123132518796,-1.23710883312429,0.216046680898903,0.999982363306687,Not Significant,grey
ARMCX1,ARMCX1,1540.92336790631,-0.0302606426910901,0.137912710745472,-0.219418808661795,0.826323819800222,0.999982363306687,Not Significant,grey
